FDR	ID	Symbol	EntrezGeneName	Location	Type
1.58E-62	CCL26	CCL26	C-C motif chemokine ligand 26	Extracellular Space	cytokine
2.07E-20	SCGB1A1	SCGB1A1	secretoglobin family 1A member 1	Extracellular Space	cytokine
2.48E-07	TIMP1	TIMP1	TIMP metallopeptidase inhibitor 1	Extracellular Space	cytokine
2.88E-07	SCGB3A1	SCGB3A1	secretoglobin family 3A member 1	Extracellular Space	cytokine
3.60E-03	CXCL8	CXCL8	C-X-C motif chemokine ligand 8	Extracellular Space	cytokine
1.86E-02	IL18	IL18	interleukin 18	Extracellular Space	cytokine
1.96E-02	CXCL17	CXCL17	C-X-C motif chemokine ligand 17	Extracellular Space	cytokine
3.32E-97	ALOX15	ALOX15	arachidonate 15-lipoxygenase	Cytoplasm	enzyme
9.17E-16	GLUL	GLUL	glutamate-ammonia ligase	Cytoplasm	enzyme
6.62E-11	GSTA2	GSTA2	glutathione S-transferase alpha 2	Cytoplasm	enzyme
1.66E-10	CHST9	CHST9	carbohydrate sulfotransferase 9	Cytoplasm	enzyme
4.63E-10	NOS2	NOS2	nitric oxide synthase 2	Cytoplasm	enzyme
7.95E-09	FUT8	FUT8	fucosyltransferase 8	Cytoplasm	enzyme
1.21E-08	GSTA1	GSTA1	glutathione S-transferase alpha 1	Cytoplasm	enzyme
4.75E-08	UAP1	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	Nucleus	enzyme
1.23E-07	CP	CP	ceruloplasmin	Extracellular Space	enzyme
4.66E-07	LOXL4	LOXL4	lysyl oxidase like 4	Extracellular Space	enzyme
7.93E-07	HS3ST4	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4	Cytoplasm	enzyme
1.23E-06	B3GNT6	B3GNT6	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"	Cytoplasm	enzyme
4.06E-06	HAS3	HAS3	hyaluronan synthase 3	Plasma Membrane	enzyme
7.13E-06	SAMD8	SAMD8	sterile alpha motif domain containing 8	Cytoplasm	enzyme
1.69E-05	TKT	TKT	transketolase	Cytoplasm	enzyme
4.16E-05	A4GALT	A4GALT	"alpha 1,4-galactosyltransferase (P blood group)"	Cytoplasm	enzyme
2.42E-04	GALNT10	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	Cytoplasm	enzyme
4.22E-04	RNLS	RNLS	"renalase, FAD dependent amine oxidase"	Extracellular Space	enzyme
4.43E-04	ANXA1	ANXA1	annexin A1	Plasma Membrane	enzyme
4.43E-04	GSTA5	GSTA5	glutathione S-transferase alpha 5	Cytoplasm	enzyme
4.60E-04	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	Cytoplasm	enzyme
6.06E-04	ELOVL5	ELOVL5	ELOVL fatty acid elongase 5	Cytoplasm	enzyme
6.23E-04	PLCB4	PLCB4	phospholipase C beta 4	Cytoplasm	enzyme
1.18E-03	TET2	TET2	tet methylcytosine dioxygenase 2	Nucleus	enzyme
1.67E-03	CYP2B6	CYP2B6	cytochrome P450 family 2 subfamily B member 6	Cytoplasm	enzyme
3.50E-03	SLX4	SLX4	SLX4 structure-specific endonuclease subunit	Nucleus	enzyme
3.52E-03	NXN	NXN	nucleoredoxin	Nucleus	enzyme
3.80E-03	ST6GAL1	ST6GAL1	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"	Cytoplasm	enzyme
