FDR	ID	Symbol	EntrezGeneName	Location	Type
4.34E-30	CCL26	CCL26	C-C motif chemokine ligand 26	Extracellular Space	cytokine
1.52E-14	SCGB1A1	SCGB1A1	secretoglobin family 1A member 1	Extracellular Space	cytokine
8.04E-06	SCGB3A1	SCGB3A1	secretoglobin family 3A member 1	Extracellular Space	cytokine
6.55E-04	TIMP1	TIMP1	TIMP metallopeptidase inhibitor 1	Extracellular Space	cytokine
3.52E-03	IL18	IL18	interleukin 18	Extracellular Space	cytokine
1.97E-02	FAM3D	FAM3D	family with sequence similarity 3 member D	Extracellular Space	cytokine
2.94E-02	CXCL1	CXCL1	C-X-C motif chemokine ligand 1	Extracellular Space	cytokine
2.94E-02	CXCL17	CXCL17	C-X-C motif chemokine ligand 17	Extracellular Space	cytokine
1.39E-76	ALOX15	ALOX15	arachidonate 15-lipoxygenase	Cytoplasm	enzyme
3.24E-13	NOS2	NOS2	nitric oxide synthase 2	Cytoplasm	enzyme
3.52E-13	GLUL	GLUL	glutamate-ammonia ligase	Cytoplasm	enzyme
1.12E-12	PLCB4	PLCB4	phospholipase C beta 4	Cytoplasm	enzyme
7.11E-11	ARIH1	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	Cytoplasm	enzyme
2.68E-09	CHST9	CHST9	carbohydrate sulfotransferase 9	Cytoplasm	enzyme
5.41E-08	CP	CP	ceruloplasmin	Extracellular Space	enzyme
1.16E-06	ST6GAL1	ST6GAL1	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"	Cytoplasm	enzyme
1.38E-06	CD274	CD274	CD274 molecule	Plasma Membrane	enzyme
5.15E-06	MYO1B	MYO1B	myosin IB	Cytoplasm	enzyme
7.60E-06	AADAC	AADAC	arylacetamide deacetylase	Cytoplasm	enzyme
8.17E-06	FUT8	FUT8	fucosyltransferase 8	Cytoplasm	enzyme
8.29E-06	ELOVL5	ELOVL5	ELOVL fatty acid elongase 5	Cytoplasm	enzyme
1.38E-05	MAOA	MAOA	monoamine oxidase A	Cytoplasm	enzyme
1.46E-05	DSE	DSE	dermatan sulfate epimerase	Cytoplasm	enzyme
1.46E-05	SAMD8	SAMD8	sterile alpha motif domain containing 8	Cytoplasm	enzyme
4.12E-05	RNLS	RNLS	"renalase, FAD dependent amine oxidase"	Extracellular Space	enzyme
5.20E-05	KYAT1	KYAT1	kynurenine aminotransferase 1	Cytoplasm	enzyme
9.71E-05	UAP1	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	Nucleus	enzyme
1.22E-04	B3GNT6	B3GNT6	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"	Cytoplasm	enzyme
1.41E-04	LOXL4	LOXL4	lysyl oxidase like 4	Extracellular Space	enzyme
1.56E-04	STEAP4	STEAP4	STEAP4 metalloreductase	Plasma Membrane	enzyme
2.53E-04	RERG	RERG	RAS like estrogen regulated growth inhibitor	Nucleus	enzyme
1.15E-03	GAPDH	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	Cytoplasm	enzyme
1.30E-03	GPCPD1	GPCPD1	glycerophosphocholine phosphodiesterase 1	Cytoplasm	enzyme
1.75E-03	TXNRD1	TXNRD1	thioredoxin reductase 1	Cytoplasm	enzyme
2.80E-03	MARCH2	MARCH2	membrane associated ring-CH-type finger 2	Cytoplasm	enzyme
3.24E-03	DCLRE1C	DCLRE1C	DNA cross-link repair 1C	Nucleus	enzyme
3.28E-03	GCNT3	GCNT3	"glucosaminyl (N-acetyl) transferase 3, mucin type"	Plasma Membrane	enzyme
3.46E-03	HS3ST4	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4	Cytoplasm	enzyme
3.50E-03	ENTPD3	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	Plasma Membrane	enzyme
3.69E-03	EHD4	EHD4	EH domain containing 4	Plasma Membrane	enzyme
4.46E-03	NDUFAF2	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	Cytoplasm	enzyme
4.77E-03	DCTN6	DCTN6	dynactin subunit 6	Cytoplasm	enzyme
4.93E-03	TBCC	TBCC	tubulin folding cofactor C	Cytoplasm	enzyme
7.02E-03	ATAD2	ATAD2	"ATPase family, AAA domain containing 2"	Nucleus	enzyme
7.08E-03	DHFR	DHFR	dihydrofolate reductase	Nucleus	enzyme
7.15E-03	FANCL	FANCL	FA complementation group L	Nucleus	enzyme
8.38E-03	XRN2	XRN2	5'-3' exoribonuclease 2	Nucleus	enzyme
8.67E-03	KYNU	KYNU	kynureninase	Cytoplasm	enzyme
8.90E-03	GSTA2	GSTA2	glutathione S-transferase alpha 2	Cytoplasm	enzyme
1.14E-02	ACADM	ACADM	acyl-CoA dehydrogenase medium chain	Cytoplasm	enzyme
1.14E-02	GALNT1	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	Cytoplasm	enzyme
1.15E-02	GMDS	GMDS	"GDP-mannose 4,6-dehydratase"	Cytoplasm	enzyme
1.15E-02	XXYLT1	XXYLT1	xyloside xylosyltransferase 1	Cytoplasm	enzyme
1.29E-02	DHX35	DHX35	DEAH-box helicase 35	Other	enzyme
1.45E-02	PHF8	PHF8	PHD finger protein 8	Nucleus	enzyme
1.67E-02	SMPD3	SMPD3	sphingomyelin phosphodiesterase 3	Cytoplasm	enzyme
1.71E-02	GCLC	GCLC	glutamate-cysteine ligase catalytic subunit	Cytoplasm	enzyme
1.74E-02	CCNO	CCNO	cyclin O	Nucleus	enzyme
1.83E-02	A4GALT	A4GALT	"alpha 1,4-galactosyltransferase (P blood group)"	Cytoplasm	enzyme
1.99E-02	GLUD1	GLUD1	glutamate dehydrogenase 1	Cytoplasm	enzyme
2.29E-02	CARMIL1	CARMIL1	capping protein regulator and myosin 1 linker 1	Cytoplasm	enzyme
